39.1213,1.88161,-34.6402,-1.6367,1.3764
29.9618,1.88079,-30.5802,-2.28882,1.62247
13.599,0.722895,-42.6109,-2.69237,1.18804
2.58238,0.116105,-41.9639,-2.18125,1.24638
25.9103,1.97784,-17.9407,1.49821,-25.5417,-2.2232,2.0278
22.9683,1.33396,-28.4562,-2.09381,1.7541
42.0358,1.90221,1.35592
37.7591,1.50005,0.968113
22.7068,1.07469,-37.0267,-2.37416,1.26705
29.385,1.96246,-25.3464,-1.90302,1.46905
28.9081,2.15398,-25.1529,-2.14494,1.8113
31.5627,2.36556,-30.7248,-2.52681,1.7336
37.5601,2.42251,-27.4159,-2.2178,1.66534
33.5507,2.33799,-25.7382,-2.12033,1.74481
30.9221,2.13409,-29.3784,-2.21891,1.54302
26.7417,2.06742,-26.5041,-2.23691,1.86346
36.2716,2.20576,-24.2241,-1.87947,1.56177
33.121,2.22419,-31.3988,-2.474,1.56757
28.7842,1.72489,-27.7586,-2.09765,1.47693
21.0489,1.38649,-30.0614,-2.37729,1.63369
