54.9843,2.60065,2.61068,0.141061,-21.9122,-1.23095,-47.1247,-2.41231,0.839031
55.8306,2.78177,5.95425,0.330409,-18.6969,-1.10341,-43.0565,-2.32065,0.956699
50.0147,2.80116,5.82905,0.385888,-15.6755,-1.09097,-35.7605,-2.35754,1.30081
72.6827,2.48638,18.805,0.608614,-14.0674,-0.47283,0.750063
54.9832,2.83714,9.09086,0.556402,-14.5295,-0.979607,-35.8053,-2.35522,1.14086
51.8359,2.79779,8.55696,0.54062,-15.8245,-1.07481,-38.5465,-2.46229,1.12504
63.2806,3.27669,19.9583,1.2477,-6.45172,-0.42843,-29.9911,-1.94204,1.13378
51.1799,2.75496,-30.154,1.70969,7.13918,0.464267,-16.5265,-1.15923,-39.7932,-2.56908,1.15803
58.0568,2.99537,19.7402,1.27998,-6.97567,-0.483506,-39.4726,-2.61947,1.31693
50.7582,2.99686,18.4512,1.44207,-5.61058,-0.474808,-31.9603,-2.48903,1.69359
58.2872,2.97857,19.9398,1.40753,-9.10637,-0.752646,-45.87,-2.69679,1.59926
43.4085,2.69244,14.9928,1.18654,-7.68648,-0.63227,-32.2237,-2.53043,1.67944
47.5501,2.98444,19.027,1.50524,-2.87351,-0.246445,-28.3048,-2.28216,1.7907
45.7575,2.85179,18.867,1.42839,-3.69339,-0.308999,-27.8693,-2.20221,1.66807
55.3077,2.7939,19.1907,1.3245,-6.07094,-0.394412,-40.9306,-2.39439,1.31064
42.4212,2.73936,16.0234,1.26002,-4.75642,-0.398634,-29.2346,-2.3364,1.74982
51.9734,2.96742,18.6062,1.27614,-4.33029,-0.336105,-33.184,-2.42977,1.43925
51.0894,3.02738,19.23,1.35508,-2.66294,-0.210469,-29.9115,-2.21801,1.51307
48.2618,2.79523,17.7601,1.18848,-5.55148,-0.418268,-37.3116,-2.51292,1.36792
