42.6554,2.20687,10.3532,0.609086,-11.7184,-0.727405,1.0693
36.5211,1.70088,4.9713,0.285671,-16.2411,-0.919591,0.958636
26.8039,1.31361,-0.733461,-0.0416872,-20.9169,-1.15199,1.06641
29.4931,1.68082,-24.2699,1.39588,-0.441197,-0.0288206,-19.9161,-1.41416,1.39881
32.9076,1.92155,1.54769,0.110414,-17.5618,-1.31415,1.56828
43.5909,2.21086,7.27021,0.46143,-15.701,-0.967527,1.06058
41.4493,2.24612,6.22125,0.422324,-13.2828,-0.940099,1.2285
38.1708,1.82229,4.63068,0.25204,-18.0134,-0.990796,0.945258
23.904,1.23865,-3.80129,-0.203184,-23.6964,-1.29555,1.09841
49.1646,2.78958,12.7701,0.891963,-18.6952,-1.32056,1.21869
45.1091,2.8382,12.4623,0.933815,-15.3235,-1.19859,1.52132
48.8489,3.05555,13.4053,1.04726,-17.4612,-1.34942,1.50584
47.1846,2.92148,13.4082,1.01713,-16.3652,-1.27702,1.49778
48.8286,3.16255,12.7522,0.973216,-20.1614,-1.52502,1.44199
45.4648,2.98336,11.2665,0.944811,-19.4726,-1.63713,1.75637
47.4589,3.04683,10.9707,0.860635,-19.7051,-1.4716,1.48026
39.8075,2.72241,8.81003,0.745745,-17.1008,-1.45614,1.87683
48.526,3.17779,12.5725,0.987929,-17.9757,-1.4229,1.58401
45.5555,2.98676,12.2327,1.01468,-16.3228,-1.38302,1.75128
49.1204,3.15902,11.969,0.932747,-22.6501,-1.71263,1.41423
