61.0075,2.86376,21.0146,1.22963,1.68122,0.0998707,-23.2146,-1.37286,-76.2598,-2.8472,1.02791
56.0145,2.75912,17.4721,0.980626,-2.74058,-0.170165,-25.7522,-1.61388,-77.9892,-2.91707,1.05629
60.1696,2.83218,19.4481,1.16829,1.72152,0.107569,-21.6748,-1.30673,-74.3335,-2.71914,1.08891
59.9479,2.86169,17.1429,0.976032,-1.80014,-0.115666,-24.0522,-1.4654,-76.0323,-2.7559,1.09627
57.1157,2.81338,17.4667,0.988393,-2.55907,-0.166192,-24.7743,-1.54425,-74.7895,-2.7952,1.09351
55.6698,2.70152,16.7489,0.954924,-3.62717,-0.227671,-27.5523,-1.66498,-75.9206,-2.83221,1.08293
58.0947,2.85066,18.3231,1.0461,-2.13815,-0.127747,-26.0961,-1.56439,-76.4923,-2.88915,1.02047
65.3023,3.05027,23.673,1.34557,3.24801,0.215481,-16.7769,-1.08699,-73.1427,-2.61755,1.1505
64.5898,2.87308,23.8329,1.23635,2.16342,0.121051,-22.3981,-1.25496,-75.8531,-2.60032,0.893335
16.4513,0.976972,-3.43875,-0.215043,-27.3336,-1.67725,-79.5259,-2.95109,0.977328
64.9703,2.73268,2.34229,0.170947,-20.6754,-1.2807,-75.4851,-2.89579,1.09636
62.0208,2.99443,4.0728,0.249725,-28.7341,-1.78038,-83.5266,-3.26394,0.981416
53.6291,3.13761,25.6189,1.86093,2.01508,0.152932,-24.2304,-1.7621,-74.4344,-3.07577,1.56837
46.6858,2.78778,20.9442,1.61513,-0.220924,-0.0182089,-24.8511,-1.94471,-69.8952,-3.22032,1.81972
48.0416,2.82427,23.5949,1.82166,0.927182,0.0713469,-24.4752,-1.79792,-73.2436,-3.16757,1.67988
49.2096,2.91902,24.4836,1.70673,0.955975,0.0734968,-24.8769,-1.86281,-75.6316,-3.13233,1.68565
54.2451,2.81667,25.46,1.61945,0.252127,0.0172918,-25.7358,-1.69051,-78.8915,-3.0104,1.35294
54.9802,3.0134,24.7911,1.63264,0.837738,0.0606948,-25.8517,-1.70243,-78.9502,-3.10918,1.36451
54.4194,2.89019,22.2907,1.3991,-4.11886,-0.27028,-30.6977,-1.93966,-85.0892,-3.05258,1.3568
55.6992,3.01589,23.1181,1.48472,-2.23211,-0.157129,-30.2077,-1.92811,-86.7599,-3.10486,1.34777
58.4118,2.98875,25.9545,1.64917,-1.68159,-0.111841,-31.8796,-1.94811,-88.9457,-3.14806,1.28365
47.4132,2.48585,19.7879,1.33021,-3.29916,-0.228989,-28.817,-1.95328,-80.69,-3.05278,1.47277
54.1208,2.91027,22.9384,1.51051,-4.39321,-0.307584,-32.4056,-2.06132,-86.1241,-3.08748,1.37844
